lhs,rhs,rule_label,lhs_length,total_pairs,antecedent_pairs,valid_pairs,violations,support,confidence,violation_rate,baseline_confidence,baseline_confidence_std,lift,threshold_set
"station, PM2.5",PM10,"station, PM2.5 -> PM10",2,1124250,82419,35738,46681,0.07331020680453636,0.4336136085126002,0.5663863914873998,,,,medium
"station, PM2.5",PM10,"station, PM2.5 -> PM10",2,1124250,114395,65870,48525,0.10175227929730932,0.5758118798898553,0.42418812011014473,,,,relaxed
"station, PM2.5",PM10,"station, PM2.5 -> PM10",2,1124250,46018,15571,30447,0.040932177006893486,0.33836759528880006,0.6616324047111999,,,,strict
"station, PM2.5, NO2",PM10,"station, PM2.5, NO2 -> PM10",3,1124250,28258,13660,14598,0.025134978874805425,0.48340293014367613,0.5165970698563238,,,,medium
"station, PM2.5, NO2",PM10,"station, PM2.5, NO2 -> PM10",3,1124250,52235,32884,19351,0.04646208583500111,0.6295395807408826,0.37046041925911743,,,,relaxed
"station, PM2.5, NO2",PM10,"station, PM2.5, NO2 -> PM10",3,1124250,9002,3454,5548,0.008007115855014454,0.3836925127749389,0.6163074872250611,,,,strict
"station, TEMP, DEWP, WSPM",PM2.5,"station, TEMP, DEWP, WSPM -> PM2.5",4,1124250,7390,1121,6269,0.0065732710696019565,0.1516914749661705,0.8483085250338295,,,,medium
"station, TEMP, DEWP, WSPM",PM2.5,"station, TEMP, DEWP, WSPM -> PM2.5",4,1124250,20075,4340,15735,0.017856348676895707,0.2161892901618929,0.7838107098381071,,,,relaxed
"station, TEMP, DEWP, WSPM",PM2.5,"station, TEMP, DEWP, WSPM -> PM2.5",4,1124250,1266,115,1151,0.0011260840560373582,0.09083728278041074,0.9091627172195893,,,,strict
"station, hour, TEMP, WSPM",O3,"station, hour, TEMP, WSPM -> O3",4,1124250,4864,1340,3524,0.004326439848788081,0.2754934210526316,0.7245065789473684,,,,medium
"station, hour, TEMP, WSPM",O3,"station, hour, TEMP, WSPM -> O3",4,1124250,9824,3267,6557,0.00873826995774961,0.33255293159609123,0.6674470684039088,,,,relaxed
"station, hour, TEMP, WSPM",O3,"station, hour, TEMP, WSPM -> O3",4,1124250,1498,283,1215,0.0013324438514565266,0.18891855807743657,0.8110814419225634,,,,strict
"station, time_slot, NO2",O3,"station, time_slot, NO2 -> O3",3,1124250,30729,7129,23600,0.02733288859239493,0.23199583455367895,0.768004165446321,,,,medium
"station, time_slot, NO2",O3,"station, time_slot, NO2 -> O3",3,1124250,43804,13532,30272,0.03896286413164332,0.3089215596749155,0.6910784403250845,,,,relaxed
"station, time_slot, NO2",O3,"station, time_slot, NO2 -> O3",3,1124250,16428,2285,14143,0.014612408272181455,0.1390917944971999,0.8609082055028001,,,,strict
"station, time_slot, PM2.5",PM10,"station, time_slot, PM2.5 -> PM10",3,1124250,20750,9312,11438,0.018456748943740272,0.4487710843373494,0.5512289156626506,,,,medium
"station, time_slot, PM2.5",PM10,"station, time_slot, PM2.5 -> PM10",3,1124250,28611,16874,11737,0.025448965977318213,0.5897731641676278,0.4102268358323722,,,,relaxed
"station, time_slot, PM2.5",PM10,"station, time_slot, PM2.5 -> PM10",3,1124250,11411,4034,7377,0.010149877696241939,0.35351853474717376,0.6464814652528262,,,,strict
"station, time_slot, TEMP, WSPM",O3,"station, time_slot, TEMP, WSPM -> O3",4,1124250,9421,2516,6905,0.008379808761396487,0.2670629444857234,0.7329370555142767,,,,medium
"station, time_slot, TEMP, WSPM",O3,"station, time_slot, TEMP, WSPM -> O3",4,1124250,19347,6189,13158,0.017208805870580386,0.31989455729570476,0.6801054427042952,,,,relaxed
"station, time_slot, TEMP, WSPM",O3,"station, time_slot, TEMP, WSPM -> O3",4,1124250,2893,522,2371,0.002573271069601957,0.18043553404770135,0.8195644659522987,,,,strict
